"original_path","intended_path","area","reason"
"addintional info to add\impeccable-main\tests\framework-fixtures\multipage-with-generator\files\dist\index.html","99_Archive_Originals\additional_info_to_add\impeccable-main\tests\framework-fixtures\multipage-with-generator\files\dist\index.html","archive","Common junk/build/cache path"
"addintional info to add\impeccable-main\tests\framework-fixtures\multipage-with-generator\files\dist\docs\one.html","99_Archive_Originals\additional_info_to_add\impeccable-main\tests\framework-fixtures\multipage-with-generator\files\dist\docs\one.html","archive","Common junk/build/cache path"
"addintional info to add\skills-main\skills\claude-api\go\managed-agents\README.md","99_Archive_Originals\additional_info_to_add\skills-main\skills\claude-api\go\managed-agents\README.md","archive","High-risk secret-like pattern: \bgh[pousr]_[A-Za-z0-9_]{20,}"
"addintional info to add\skills-main\skills\claude-api\java\managed-agents\README.md","99_Archive_Originals\additional_info_to_add\skills-main\skills\claude-api\java\managed-agents\README.md","archive","High-risk secret-like pattern: \bgh[pousr]_[A-Za-z0-9_]{20,}"
"addintional info to add\skills-main\skills\claude-api\php\managed-agents\README.md","99_Archive_Originals\additional_info_to_add\skills-main\skills\claude-api\php\managed-agents\README.md","archive","High-risk secret-like pattern: \bgh[pousr]_[A-Za-z0-9_]{20,}"
"addintional info to add\skills-main\skills\claude-api\ruby\managed-agents\README.md","99_Archive_Originals\additional_info_to_add\skills-main\skills\claude-api\ruby\managed-agents\README.md","archive","High-risk secret-like pattern: \bgh[pousr]_[A-Za-z0-9_]{20,}"
"addintional info to add\ui-main\apps\v4\.env.example","99_Archive_Originals\additional_info_to_add\ui-main\apps\v4\.env.example","archive","Unsafe/private filename pattern"
"addintional info to add\ui-main\packages\shadcn\test\fixtures\frameworks\remix-indie-stack\.env.example","99_Archive_Originals\additional_info_to_add\ui-main\packages\shadcn\test\fixtures\frameworks\remix-indie-stack\.env.example","archive","Unsafe/private filename pattern"
"addintional info to add\ui-ux-pro-max-skill-main\ui-ux-pro-max-skill-main\.claude\skills\ui-styling\scripts\.coverage","99_Archive_Originals\additional_info_to_add\ui-ux-pro-max-skill-main\ui-ux-pro-max-skill-main\.claude\skills\ui-styling\scripts\.coverage","archive","Common junk/build/cache path"
"addintional info to add\ui-main\apps\v4\.env.example","80_Reference_Repos\UI_Component_Libraries\ui-main\apps\v4\.env.example","clean_reference_repo","Unsafe/private filename pattern"
"addintional info to add\ui-main\packages\shadcn\test\fixtures\frameworks\remix-indie-stack\.env.example","80_Reference_Repos\UI_Component_Libraries\ui-main\packages\shadcn\test\fixtures\frameworks\remix-indie-stack\.env.example","clean_reference_repo","Unsafe/private filename pattern"
"addintional info to add\skills-main\skills\claude-api\go\managed-agents\README.md","80_Reference_Repos\Agent_Skills\skills-main\skills\claude-api\go\managed-agents\README.md","clean_reference_repo","High-risk secret-like pattern: \bgh[pousr]_[A-Za-z0-9_]{20,}"
"addintional info to add\skills-main\skills\claude-api\java\managed-agents\README.md","80_Reference_Repos\Agent_Skills\skills-main\skills\claude-api\java\managed-agents\README.md","clean_reference_repo","High-risk secret-like pattern: \bgh[pousr]_[A-Za-z0-9_]{20,}"
"addintional info to add\skills-main\skills\claude-api\php\managed-agents\README.md","80_Reference_Repos\Agent_Skills\skills-main\skills\claude-api\php\managed-agents\README.md","clean_reference_repo","High-risk secret-like pattern: \bgh[pousr]_[A-Za-z0-9_]{20,}"
"addintional info to add\skills-main\skills\claude-api\ruby\managed-agents\README.md","80_Reference_Repos\Agent_Skills\skills-main\skills\claude-api\ruby\managed-agents\README.md","clean_reference_repo","High-risk secret-like pattern: \bgh[pousr]_[A-Za-z0-9_]{20,}"
"addintional info to add\impeccable-main\tests\framework-fixtures\multipage-with-generator\files\dist\index.html","80_Reference_Repos\Product_Examples\impeccable-main\tests\framework-fixtures\multipage-with-generator\files\dist\index.html","clean_reference_repo","Common junk/build/cache path"
"addintional info to add\impeccable-main\tests\framework-fixtures\multipage-with-generator\files\dist\docs\one.html","80_Reference_Repos\Product_Examples\impeccable-main\tests\framework-fixtures\multipage-with-generator\files\dist\docs\one.html","clean_reference_repo","Common junk/build/cache path"
"addintional info to add\ui-ux-pro-max-skill-main\ui-ux-pro-max-skill-main\.claude\skills\ui-styling\scripts\.coverage","80_Reference_Repos\Design_Skills\ui-ux-pro-max-skill-main\ui-ux-pro-max-skill-main\.claude\skills\ui-styling\scripts\.coverage","clean_reference_repo","Common junk/build/cache path"
